749;Romont;692;m.ue.M.;2561476;1172622
765;L' Auberson;1096;m.ue.M.;2523852;1186295
436;Couvet;728;m.ue.M.;2540607;1198345
771;Magglingen;883;m.ue.M.;2583037;1221115
186;Nesselboden;1055;m.ue.M.;2605295;1232697
779;Affoltern im Emmental;755;m.ue.M.;2622940;1212500
782;Riedholz-Wallierhof;518;m.ue.M.;2609394;1231491
311;Huttwil;633;m.ue.M.;2630261;1218189
379;Langenbruck;731;m.ue.M.;2624250;1244720
797;Unterkulm;454;m.ue.M.;2650838;1241212
799;Muri AG;577;m.ue.M.;2667276;1235323
800;Unterb zberg;536;m.ue.M.;2652249;1259223
803;Oberehrendingen;428;m.ue.M.;2667846;1262266
806;Brig;665;m.ue.M.;2640567;1129069
257;Leukerbad;1286;m.ue.M.;2614083;1135090
384;Fionnay;1500;m.ue.M.;2589960;1097765
510;Orsi res;929;m.ue.M.;2577022;1096695
140;Martigny / Ravoire;461;m.ue.M.;2570920;1106546
516;Bex;402;m.ue.M.;2565806;1121511
204;Les Avants;1036;m.ue.M.;2561880;1145178
270;Lausanne;601;m.ue.M.;2538976;1153256
272;Cossonay;590;m.ue.M.;2527563;1162465
332;Longirod;900;m.ue.M.;2509387;1150106
211;Saignel gier;883;m.ue.M.;2565379;1234076
534;Mormont;535;m.ue.M.;2569727;1254223
536;Airolo;1139;m.ue.M.;2688910;1153400
540;Faido;747;m.ue.M.;2704950;1148266
415;Biasca;278;m.ue.M.;2718550;1132800
472;Bellinzona;224;m.ue.M.;2720913;1116588
557;Bosco-Gurin;1486;m.ue.M.;2680879;1130027
560;Mosogno;771;m.ue.M.;2692803;1117050
229;Coldrerio;347;m.ue.M.;2721080;1079235
290;Crana-Torricella;1002;m.ue.M.;2712695;1103746
419;Brusio-Piazzo;856;m.ue.M.;2806477;1127184
423;Soglio;1086;m.ue.M.;2761393;1134474
835;Bernina-Curtinatsch;2090;m.ue.M.;2795795;1146486
172;Susch;1416;m.ue.M.;2802002;1181593
612;Martina;1041;m.ue.M.;2830464;1196986
215;Sedrun;1400;m.ue.M.;2702480;1170825
276;Tavanasa;800;m.ue.M.;2722750;1178980
279;Pigniu;1325;m.ue.M.;2727950;1185715
281;Zervreila;1738;m.ue.M.;2728780;1160000
947;Vella;1245;m.ue.M.;2732650;1175670
341;Safien-Platz;1300;m.ue.M.;2743540;1171380
343;Flims;1050;m.ue.M.;2740720;1188600
344;Spl gen-Dorf;1460;m.ue.M.;2744420;1157435
401;Avers am Bach;2000;m.ue.M.;2761985;1146785
403;Innerferrera;1475;m.ue.M.;2753870;1154070
466;Dischma;1710;m.ue.M.;2786600;1182990
634;Monstein;1575;m.ue.M.;2778080;1176230
155;Filisur;1030;m.ue.M.;2772250;1171320
156;Alvaneu-Dorf;1170;m.ue.M.;2769170;1171954
157;Lenzerheide;1400;m.ue.M.;2761860;1175890
159;Tiefencastel;890;m.ue.M.;2763205;1170350
636;Rothenbrunnen;622;m.ue.M.;2751230;1181290
161;Tamins;667;m.ue.M.;2750155;1188614
838;K blis;815;m.ue.M.;2778470;1198480
286;Landquart;537;m.ue.M.;2762680;1203710
350;Sargans;590;m.ue.M.;2752046;1213364
352;Sevelen;457;m.ue.M.;2755605;1221302
355;Salez / Saxerriet;436;m.ue.M.;2755450;1233280
651;Eggen-Lachen;930;m.ue.M.;2762030;1255900
360;Tanne-Wald;1075;m.ue.M.;2757025;1254230
361;Eggersriet;814;m.ue.M.;2752170;1256280
653;Trogen;975;m.ue.M.;2752170;1251770
654;Arbon;402;m.ue.M.;2750520;1263110
424;Steckborn;400;m.ue.M.;2715200;1280150
104;Buch SH;414;m.ue.M.;2700944;1286039
105;Diessenhofen;405;m.ue.M.;2696730;1283130
177;Wil bei Rafz;406;m.ue.M.;2680340;1273225
178;Kaiserstuhl;361;m.ue.M.;2673300;1269310
236;Schleitheim;499;m.ue.M.;2678225;1288730
237;Wilchingen;420;m.ue.M.;2677050;1280200
658;Laufenburg;330;m.ue.M.;2646900;1267700
