source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,2635,8.76547,47.10646,3.081275,0.418461,179.028019
CAMELS,2640,7.35099,47.36427,0.007055,0.430294,365.5
CAMELS,2644,9.86324,46.51371,4.478586,0.953256,260.5
CAMELS,3001,9.53355,47.27241,3.280093,0.713902,190.691428
CAMELS,3002,9.57927,47.30565,3.295251,0.563141,191.605114
CAMELS,3003,9.57888,47.26036,3.245651,0.741022,188.667795
CAMELS,3004,9.59285,47.28234,3.664504,0.472142,213.098072
CAMELS,3005,9.61444,47.20666,3.23935,0.716648,188.329228
CAMELS,3006,9.66136,47.45029,3.222236,0.745606,187.345742
CAMELS,3007,9.68046,47.46137,3.210278,0.592416,186.542062
CAMELS,3008,9.67776,47.37108,3.429715,0.686575,199.416155
CAMELS,3009,9.67755,47.19897,3.259364,0.740572,189.463709
CAMELS,3010,9.69624,47.43453,3.255942,0.734327,189.283106
CAMELS,3011,9.70033,47.44775,3.492128,0.638715,203.007856
CAMELS,3012,9.73615,47.53710,5.169008,0.066001,301.013578
CAMELS,3013,9.72885,47.25693,3.331417,0.638018,193.625928
CAMELS,3014,9.74412,47.53478,3.516859,0.511395,204.375074
CAMELS,3015,9.75762,47.44612,3.402988,0.481087,197.781593
CAMELS,3016,9.76161,47.39715,3.524204,0.536031,204.868939
CAMELS,3017,9.77511,47.47620,3.671553,0.513903,213.442278
CAMELS,3018,9.80266,47.15078,3.325766,0.712947,193.329704
CAMELS,3019,9.84644,47.13150,3.208676,0.699119,186.542852
CAMELS,3020,9.87443,47.52827,4.324252,0.168854,251.527265
CAMELS,3021,9.88112,47.35466,3.62095,0.693264,210.506303
CAMELS,3022,9.87585,47.22671,3.446154,0.513954,200.362575
CAMELS,3023,9.89445,47.36942,3.909092,0.482547,227.274911
CAMELS,3024,9.91807,47.50217,3.896804,0.361998,226.561851
CAMELS,3025,9.91367,47.08031,3.030261,0.858859,176.158446
CAMELS,3026,9.96383,47.46274,2.818231,0.495831,163.784706
CAMELS,3027,9.97338,47.32764,3.621597,0.699497,210.542508
CAMELS,3028,10.02081,47.47061,3.404523,0.440675,197.921436
CAMELS,3029,10.04083,47.38589,3.666887,0.642057,213.181958
CAMELS,3030,10.04754,47.28543,3.39554,0.718136,197.396194
CAMELS,3031,10.06049,47.12768,2.91812,0.877942,169.643443
CAMELS,3032,10.48839,46.93612,2.894069,0.84609,168.233789
CAMELS,3033,10.51023,46.95069,3.064442,0.87323,178.147709
CAMELS,4001,7.79465,47.71817,0.308945,0.751244,18.092152
CAMELS,4002,7.84542,47.69948,0.356947,0.757813,20.866314
CAMELS,4003,8.19164,47.92520,0.353621,0.736495,20.686414
CAMELS,4004,8.32556,47.62329,0.458741,0.687386,26.804529
CAMELS,4005,8.34376,47.74969,0.339957,0.773326,19.894163
CAMELS,4006,8.45023,47.84833,0.325166,0.77947,19.0553
CAMELS,4007,8.82474,47.78200,0.682467,0.551914,39.756686
CAMELS,4008,8.83895,47.73780,1.65882,0.231068,96.396022
CAMELS,4009,8.96569,47.81555,1.65882,0.231068,96.396022
CAMELS,4010,9.17284,47.66788,3.244876,0.849881,188.633416
CAMELS,4011,9.24346,47.73024,1.916511,0.240239,111.337586
CAMELS,4012,9.30840,47.75406,1.580319,0.276294,91.756069
CAMELS,4013,9.45503,47.75653,1.265036,0.237992,73.54549
