source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,4023,9.97035,47.64908,1.406844,0.234634,81.693631
CAMELS,4024,10.01565,47.54264,2.734884,0.230084,158.963575
CAMELS,4025,10.05182,47.71515,1.169278,0.302793,67.936028
CAMELS,4026,10.08490,47.64554,0.938358,0.227069,54.52118
CAMELS,5001,6.01419,46.23926,0.19121,0.614332,11.25175
CAMELS,5002,6.02861,46.29859,0.515885,0.44949,30.030359
CAMELS,5003,6.06631,46.14027,0.088206,0.525375,5.263905
CAMELS,5004,6.10720,46.51699,0.926902,0.651995,53.845168
CAMELS,5005,6.19210,46.80919,0.215109,0.415496,12.638203
CAMELS,5006,6.20896,46.70490,0.309715,0.46146,18.09661
CAMELS,5007,6.24696,46.75856,4.785549,0.999901,278.0
CAMELS,5008,6.27295,46.16970,0.906376,0.305907,52.577328
CAMELS,5009,6.27996,46.77260,0.357718,0.452996,20.873834
CAMELS,5010,6.31771,46.75831,0.640186,0.439002,37.252547
CAMELS,5011,6.32532,46.93535,0.003956,0.36482,365.308025
CAMELS,5012,6.33439,46.84853,0.52041,0.371743,30.302393
CAMELS,5013,6.34800,46.92778,0.218765,0.467872,12.868742
CAMELS,5014,6.36387,46.88002,0.523803,0.442227,30.497428
CAMELS,5015,6.38128,46.33040,0.404238,0.361481,23.579179
CAMELS,5016,6.38178,46.73203,0.568392,0.496804,33.030075
CAMELS,5017,6.41562,45.93444,2.205964,0.425149,128.151565
CAMELS,5018,6.41593,46.33930,0.64726,0.320433,37.580624
CAMELS,5019,6.45617,46.06488,1.657585,0.212287,96.087716
CAMELS,5020,6.47565,46.13654,0.953502,0.434911,55.418371
CAMELS,5021,6.47653,47.00094,0.742338,0.378098,43.199618
CAMELS,5022,6.49738,46.11828,2.355482,0.191307,136.847565
CAMELS,5023,6.58624,46.32612,1.868541,0.249085,108.363303
CAMELS,5025,6.61752,46.03077,2.680136,0.848922,155.81769
CAMELS,5026,6.62049,46.26511,2.176386,0.478291,126.428525
CAMELS,5027,6.64193,45.94046,3.216985,0.851245,186.983152
CAMELS,5028,6.64179,46.35352,1.828062,0.191075,106.265796
CAMELS,5029,6.66727,46.32663,2.064323,0.433915,119.896142
CAMELS,5030,6.84362,47.15465,0.423658,0.547495,24.71824
