source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,2497,7.97382,47.19037,1.270719,0.831989,73.874119
CAMELS,2498,9.21063,46.77359,2.533021,0.920471,147.250995
CAMELS,2500,7.47812,46.97316,1.456098,0.84555,84.650107
CAMELS,2602,9.45611,46.83767,2.549369,0.930278,148.19969
CAMELS,2603,7.79742,46.93793,1.768797,0.81126,102.830633
CAMELS,2604,8.72087,47.15334,1.656584,0.823501,96.306598
CAMELS,2605,8.84455,46.24898,2.315131,0.838135,134.598214
CAMELS,2606,6.14156,46.20464,2.022341,0.908294,117.560093
CAMELS,2607,8.35717,46.53298,2.956812,0.94721,171.889864
CAMELS,2608,8.20983,47.11302,1.429727,0.675956,83.145419
CAMELS,2609,8.73927,47.15080,1.896113,0.846764,110.235998
CAMELS,2610,7.43181,47.34820,1.212954,0.800957,70.520234
CAMELS,2612,8.84013,46.25830,2.298385,0.794266,133.626044
CAMELS,2613,7.59473,47.60137,2.008919,0.854008,116.799664
CAMELS,2617,10.45316,46.62964,2.572826,0.911267,149.576077
CAMELS,2620,9.52676,46.33319,2.724442,0.865947,158.398806
CAMELS,2629,8.91169,46.00304,1.570987,0.636186,91.333411
CAMELS,2630,7.36606,46.23052,2.23794,0.841735,130.123199
CAMELS,2631,9.18128,46.52345,3.014562,0.866821,175.267005
CAMELS,2634,8.27728,47.07063,1.88146,0.887396,109.376843
CAMELS,2635,8.76547,47.10646,2.056746,0.89194,119.565096
CAMELS,2640,7.35099,47.36427,6.282104,0.703297,365.0
CAMELS,2644,9.86324,46.51371,3.886813,0.305593,226.0
CAMELS,3001,9.53355,47.27241,2.518842,0.982288,146.422131
CAMELS,3002,9.57927,47.30565,1.828775,0.93922,106.310774
CAMELS,3003,9.57888,47.26036,2.425554,0.974582,141.005324
CAMELS,3004,9.59285,47.28234,1.765785,0.963821,102.654709
CAMELS,3005,9.61444,47.20666,2.197865,0.973335,127.768512
CAMELS,3006,9.66136,47.45029,2.493298,0.979425,144.945667
CAMELS,3007,9.68046,47.46137,2.084542,0.911175,121.173451
CAMELS,3008,9.67776,47.37108,2.164162,0.890739,125.813092
CAMELS,3009,9.67755,47.19897,2.444835,0.972678,142.124134
CAMELS,3010,9.69624,47.43453,1.99384,0.854164,115.913358
CAMELS,3011,9.70033,47.44775,2.070847,0.904458,120.38681
CAMELS,3012,9.73615,47.53710,1.439987,0.858012,83.709177
CAMELS,3013,9.72885,47.25693,2.288535,0.897703,133.044099
CAMELS,3014,9.74412,47.53478,1.864719,0.823823,108.38712
CAMELS,3015,9.75762,47.44612,1.973387,0.893489,114.719234
CAMELS,3016,9.76161,47.39715,2.129017,0.932215,123.763237
CAMELS,3017,9.77511,47.47620,2.083166,0.932745,121.102036
CAMELS,3018,9.80266,47.15078,2.530931,0.968622,147.131201
CAMELS,3019,9.84644,47.13150,2.445709,0.913693,142.18289
CAMELS,3020,9.87443,47.52827,1.481403,0.88552,86.116956
CAMELS,3021,9.88112,47.35466,2.305496,0.978378,134.025774
CAMELS,3022,9.87585,47.22671,2.394276,0.965864,139.188248
CAMELS,3023,9.89445,47.36942,1.97143,0.908087,114.614392
CAMELS,3024,9.91807,47.50217,1.802245,0.845757,104.780257
CAMELS,3025,9.91367,47.08031,2.600366,0.986756,151.166689
CAMELS,3026,9.96383,47.46274,2.067234,0.942552,120.188333
CAMELS,3027,9.97338,47.32764,2.331456,0.978874,135.534824
CAMELS,3028,10.02081,47.47061,2.063727,0.939397,119.969574
CAMELS,3029,10.04083,47.38589,2.35817,0.986898,137.086927
CAMELS,3030,10.04754,47.28543,2.449533,0.990287,142.398443
CAMELS,3031,10.06049,47.12768,2.591242,0.987408,150.6429
CAMELS,3032,10.48839,46.93612,2.756098,0.989815,160.213621
CAMELS,3033,10.51023,46.95069,2.739641,0.990001,159.256318
CAMELS,4001,7.79465,47.71817,0.925966,0.907136,53.831616
CAMELS,4002,7.84542,47.69948,0.947252,0.899998,55.070637
CAMELS,4003,8.19164,47.92520,1.043188,0.901171,60.646662
CAMELS,4004,8.32556,47.62329,1.059606,0.90418,61.598818
CAMELS,4005,8.34376,47.74969,0.804085,0.900483,46.741151
CAMELS,4006,8.45023,47.84833,0.991615,0.903539,57.648659
CAMELS,4007,8.82474,47.78200,1.278718,0.906104,74.337383
CAMELS,4008,8.83895,47.73780,1.266857,0.910246,73.649753
CAMELS,4009,8.96569,47.81555,1.266857,0.910246,73.649753
CAMELS,4010,9.17284,47.66788,2.361107,0.941314,137.259342
CAMELS,4011,9.24346,47.73024,1.260536,0.911126,73.273347
CAMELS,4012,9.30840,47.75406,1.304868,0.900596,75.855783
CAMELS,4013,9.45503,47.75653,1.122581,0.909921,65.25985
CAMELS,4014,9.49632,47.65912,1.153116,0.865161,67.027124
CAMELS,4015,9.53489,47.67256,1.301208,0.885411,75.637933
CAMELS,4016,9.59609,47.62798,1.394076,0.906293,81.041624
CAMELS,4017,9.63856,47.82785,1.34383,0.899496,78.117378
CAMELS,4018,9.67618,47.90307,1.338047,0.873007,77.78347
CAMELS,4019,9.69926,47.55723,1.184392,0.856797,68.859264
CAMELS,4020,9.81864,47.70470,1.429145,0.912917,83.078153
CAMELS,4021,9.86259,47.67702,1.469554,0.912129,85.432967
CAMELS,4022,9.90003,47.68426,1.192566,0.842145,69.324391
CAMELS,4023,9.97035,47.64908,1.527452,0.909311,88.795199
CAMELS,4024,10.01565,47.54264,1.914152,0.936213,111.275322
CAMELS,4025,10.05182,47.71515,1.517991,0.886753,88.24807
CAMELS,4026,10.08490,47.64554,1.507445,0.909806,87.631166
CAMELS,5001,6.01419,46.23926,0.758732,0.894017,44.109254
CAMELS,5002,6.02861,46.29859,0.940017,0.915028,54.645059
CAMELS,5003,6.06631,46.14027,0.735581,0.857114,42.765199
CAMELS,5004,6.10720,46.51699,1.247561,0.755394,72.472766
CAMELS,5005,6.19210,46.80919,0.978247,0.919921,56.857676
CAMELS,5006,6.20896,46.70490,1.316016,0.938425,76.504559
CAMELS,5007,6.24696,46.75856,1.024245,0.912375,59.5
CAMELS,5008,6.27295,46.16970,1.19151,0.921723,69.252585
CAMELS,5009,6.27996,46.77260,1.084937,0.903241,63.073768
CAMELS,5010,6.31771,46.75831,0.949104,0.846204,55.187088
CAMELS,5011,6.32532,46.93535,0.907951,0.857499,52.780481
CAMELS,5012,6.33439,46.84853,1.103877,0.89966,64.178396
CAMELS,5013,6.34800,46.92778,1.008557,0.862264,58.629401
CAMELS,5014,6.36387,46.88002,1.017366,0.885761,59.145301
CAMELS,5015,6.38128,46.33040,0.985281,0.878944,57.278239
CAMELS,5016,6.38178,46.73203,1.03708,0.864971,60.288673
CAMELS,5017,6.41562,45.93444,1.738095,0.914732,101.044397
CAMELS,5018,6.41593,46.33930,1.174459,0.8565,68.279239
CAMELS,5019,6.45617,46.06488,1.582432,0.900727,91.999307
CAMELS,5020,6.47565,46.13654,1.334491,0.948505,77.574754
CAMELS,5021,6.47653,47.00094,0.980237,0.84912,56.982707
CAMELS,5022,6.49738,46.11828,1.935886,0.924086,112.564076
CAMELS,5023,6.58624,46.32612,1.824977,0.958882,106.086414
CAMELS,5025,6.61752,46.03077,2.353982,0.995787,136.857834
CAMELS,5026,6.62049,46.26511,1.900072,0.970917,110.459968
CAMELS,5027,6.64193,45.94046,2.828608,0.991941,164.422373
CAMELS,5028,6.64179,46.35352,2.009863,0.933007,116.83687
CAMELS,5029,6.66727,46.32663,1.927829,0.987408,112.070222
CAMELS,5030,6.84362,47.15465,0.919352,0.93984,53.428154
CAMELS,5031,6.85932,45.91586,3.251062,0.995726,188.963616
CAMELS,5032,6.95048,47.27163,0.99245,0.87712,57.697581
CAMELS,6001,7.95439,45.96974,3.110407,0.972367,180.864001
CAMELS,6002,8.13208,45.98593,2.451452,0.994092,142.510414
CAMELS,6003,8.25741,46.06772,1.777845,0.638273,103.371348
CAMELS,6004,8.27402,46.12178,2.147296,0.898895,124.849921
CAMELS,6005,8.30627,46.11259,2.147881,0.958339,124.871805
CAMELS,6006,8.32385,46.18081,2.45699,0.995462,142.803058
CAMELS,6007,8.42180,45.97476,2.149667,0.841291,124.973039
CAMELS,6008,8.43422,45.92688,1.842883,0.740757,107.161259
CAMELS,6009,8.52540,45.95661,2.014056,0.572202,117.163246
CAMELS,6010,8.57883,45.94133,1.834037,0.892961,106.680523
CAMELS,6011,8.64892,45.69666,1.922551,0.864491,111.814848
